City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Obeliai,LT,2021-11-01 04:40:16,55.9667,25.15,41.56,79,41,9.42,scattered clouds
147,Ruteng,ID,2021-11-01 04:40:16,-8.6136,120.4721,73.22,75,48,0.67,scattered clouds
148,Champerico,GT,2021-11-01 04:40:17,14.3,-91.9167,81.36,84,100,4.72,overcast clouds
149,Abancay,PE,2021-11-01 04:40:17,-13.6339,-72.8814,58.66,91,98,1.01,overcast clouds
150,Kodiak,US,2021-11-01 04:40:18,57.79,-152.4072,42.08,89,100,1.05,overcast clouds
151,Abashiri,JP,2021-11-01 04:39:20,44.0213,144.2697,48.94,87,75,11.5,broken clouds
152,Murray Bridge,AU,2021-11-01 04:40:19,-35.1167,139.2667,85.42,15,0,6.22,clear sky
153,Nabire,ID,2021-11-01 04:40:19,-3.3667,135.4833,83.8,75,76,3.83,broken clouds
154,Roald,NO,2021-11-01 04:40:20,62.5833,6.1333,51.85,66,90,8.05,light rain
155,Puerto El Triunfo,SV,2021-11-01 04:40:20,13.2833,-88.55,77.16,91,67,5.59,broken clouds
156,Berlevag,NO,2021-11-01 04:40:21,70.8578,29.0864,32.0,83,83,16.08,broken clouds
157,Avarua,CK,2021-11-01 04:40:21,-21.2078,-159.775,75.25,69,75,12.66,broken clouds
158,Hami,CN,2021-11-01 04:40:22,42.8,93.45,54.48,38,96,5.03,overcast clouds
159,Georgetown,MY,2021-11-01 04:40:23,5.4112,100.3354,89.53,70,20,3.0,few clouds
160,Ipixuna,BR,2021-11-01 04:40:23,-1.7625,-48.8043,78.75,97,98,3.65,overcast clouds
161,Mahibadhoo,MV,2021-11-01 04:40:24,3.7833,72.9667,83.61,73,61,19.77,broken clouds
162,Fairbanks,US,2021-11-01 04:40:24,64.8378,-147.7164,46.36,41,1,10.36,clear sky
163,Galesburg,US,2021-11-01 04:40:25,40.9478,-90.3712,41.72,78,1,1.01,clear sky
164,Seelze,DE,2021-11-01 04:40:25,52.4,9.6,55.47,80,0,1.99,light rain
165,Saint Paul,US,2021-11-01 04:39:37,44.9444,-93.0933,38.98,71,1,6.91,clear sky
166,Saint Anthony,US,2021-11-01 04:40:26,45.0205,-93.218,38.35,70,1,1.99,clear sky
167,Saint George,US,2021-11-01 04:40:27,37.1041,-113.5841,67.35,48,1,1.01,clear sky
168,Usinsk,RU,2021-11-01 04:40:27,65.9939,57.5281,5.32,86,2,11.54,clear sky
169,Bengkulu,ID,2021-11-01 04:40:28,-3.8004,102.2655,83.7,70,99,7.83,overcast clouds
170,Necochea,AR,2021-11-01 04:40:28,-38.5473,-58.7368,50.04,82,100,9.24,overcast clouds
171,Nsoko,SZ,2021-11-01 04:40:29,-27.0333,31.95,69.66,73,1,5.88,clear sky
172,Touros,BR,2021-11-01 04:40:29,-5.1989,-35.4608,81.5,78,70,14.2,broken clouds
173,Sherman,US,2021-11-01 04:40:30,33.6357,-96.6089,60.91,79,1,9.22,clear sky
174,Kirakira,SB,2021-11-01 04:40:30,-10.4544,161.9205,85.08,67,60,14.41,broken clouds
175,Chapais,CA,2021-11-01 04:40:31,49.7834,-74.8492,40.78,95,100,10.96,overcast clouds
176,Arraial Do Cabo,BR,2021-11-01 04:40:32,-22.9661,-42.0278,69.62,94,100,21.81,moderate rain
177,Sorong,ID,2021-11-01 04:40:33,-0.8833,131.25,84.04,72,77,5.06,light rain
178,Liepaja,LV,2021-11-01 04:40:33,56.5419,21.0367,46.45,81,20,9.22,few clouds
179,Byron Bay,AU,2021-11-01 04:36:11,-28.65,153.6167,73.87,56,100,8.7,overcast clouds
180,Tuatapere,NZ,2021-11-01 04:40:34,-46.1333,167.6833,55.2,73,94,12.26,overcast clouds
181,Esperance,AU,2021-11-01 04:40:35,-33.8667,121.9,73.24,58,100,20.8,overcast clouds
182,Aykhal,RU,2021-11-01 04:40:36,66.0,111.5,4.69,94,97,17.45,overcast clouds
183,Bathsheba,BB,2021-11-01 04:40:36,13.2167,-59.5167,74.01,88,75,17.27,broken clouds
184,Kazaki,RU,2021-11-01 04:40:37,52.6248,38.2649,38.75,70,0,5.77,clear sky
185,Columbus,US,2021-11-01 04:35:38,39.9612,-82.9988,52.47,76,90,1.01,overcast clouds
186,Myaundzha,RU,2021-11-01 04:40:37,63.0494,147.1858,-11.61,97,22,1.19,few clouds
187,Umm Kaddadah,SD,2021-11-01 04:40:38,13.6017,26.6876,81.09,21,36,14.29,scattered clouds
188,Daru,PG,2021-11-01 04:40:38,-9.0763,143.2092,82.45,86,100,15.46,overcast clouds
189,Evensk,RU,2021-11-01 04:38:55,61.95,159.2333,0.61,76,25,8.66,scattered clouds
190,Grand Gaube,MU,2021-11-01 04:40:39,-20.0064,57.6608,79.38,70,1,7.0,clear sky
191,Huilong,CN,2021-11-01 04:36:28,31.8111,121.655,72.99,50,85,8.21,overcast clouds
192,Alfena,PT,2021-11-01 04:40:40,41.2367,-8.5245,56.57,97,75,3.0,broken clouds
193,Fort Nelson,CA,2021-11-01 04:40:41,58.8053,-122.7002,18.99,79,20,0.0,few clouds
194,Kisanga,TZ,2021-11-01 04:40:41,-7.4362,37.7034,79.81,70,63,4.68,broken clouds
195,Naze,JP,2021-11-01 04:40:42,28.3667,129.4833,70.72,77,25,14.45,scattered clouds
196,Tiksi,RU,2021-11-01 04:40:42,71.6872,128.8694,5.36,89,96,7.45,overcast clouds
197,Ponta Do Sol,PT,2021-11-01 04:40:43,32.6667,-17.1,70.72,76,45,0.96,scattered clouds
198,Coahuayana,MX,2021-11-01 04:40:43,18.7333,-103.6833,75.02,87,18,2.73,few clouds
199,Kahului,US,2021-11-01 04:38:25,20.8947,-156.47,78.82,79,20,3.44,few clouds
200,Beringovskiy,RU,2021-11-01 04:40:44,63.05,179.3167,3.2,92,68,12.57,broken clouds
201,Padang,ID,2021-11-01 04:39:06,-0.9492,100.3543,86.05,73,100,4.43,light rain
202,Cidreira,BR,2021-11-01 04:40:45,-30.1811,-50.2056,67.23,90,7,19.86,clear sky
203,Faanui,PF,2021-11-01 04:40:46,-16.4833,-151.75,79.23,73,74,16.08,broken clouds
204,Barentu,ER,2021-11-01 04:40:46,15.1139,37.5928,78.53,45,19,10.31,few clouds
205,Boa Vista,BR,2021-11-01 04:40:46,2.8197,-60.6733,82.38,78,40,6.91,scattered clouds
206,El Alto,PE,2021-11-01 04:40:47,-4.2714,-81.2147,63.41,79,43,13.94,scattered clouds
207,Dudinka,RU,2021-11-01 04:40:48,69.4058,86.1778,-11.09,100,95,5.59,overcast clouds
208,Barguzin,RU,2021-11-01 04:40:48,53.6167,109.6167,36.34,60,37,6.11,scattered clouds
209,Juneau,US,2021-11-01 04:40:49,58.3019,-134.4197,38.1,94,90,0.0,fog
210,Teyateyaneng,LS,2021-11-01 04:40:49,-29.1472,27.7489,61.14,35,40,3.49,scattered clouds
211,Changli,CN,2021-11-01 04:40:50,39.7042,119.1506,54.72,42,4,2.53,clear sky
212,Praia,CV,2021-11-01 04:40:50,14.9215,-23.5087,77.54,94,40,12.66,scattered clouds
213,Zambezi,ZM,2021-11-01 04:40:50,-13.5432,23.1047,70.02,79,93,4.88,overcast clouds
214,Tual,ID,2021-11-01 04:36:28,-5.6667,132.75,84.34,70,92,7.56,light rain
215,Brae,GB,2021-11-01 04:40:51,60.3964,-1.353,49.91,87,59,19.48,broken clouds
216,North Platte,US,2021-11-01 04:40:52,41.1239,-100.7654,33.69,96,90,3.44,snow
217,Shubarkuduk,KZ,2021-11-01 04:40:53,49.1447,56.4872,43.09,56,9,9.93,clear sky
218,Pauini,BR,2021-11-01 04:40:54,-7.7136,-66.9764,74.1,89,96,2.46,overcast clouds
219,Mangalia,RO,2021-11-01 04:40:54,43.8,28.5833,53.15,88,98,9.73,overcast clouds
220,Nyuksenitsa,RU,2021-11-01 04:40:55,60.4128,44.2397,37.31,98,100,4.41,overcast clouds
221,Port Blair,IN,2021-11-01 04:40:55,11.6667,92.75,84.56,71,54,10.83,broken clouds
222,Bima,ID,2021-11-01 04:40:56,-8.4667,118.7167,87.49,66,60,4.79,moderate rain
223,Mar Del Plata,AR,2021-11-01 04:40:56,-38.0023,-57.5575,55.09,91,90,1.01,overcast clouds
224,Tula,RU,2021-11-01 04:40:57,54.2044,37.6111,37.65,81,4,6.02,clear sky
225,Dicabisagan,PH,2021-11-01 04:40:57,17.0818,122.4157,84.16,63,42,9.98,scattered clouds
